bd,wl,umax,,
2.6,0.7,13.22853071,11.400572,14%
2.6,0.8,15.12630329,12.470372,18%
2.6,0.9,17.01321665,13.63642,20%
2.6,1,18.88473103,14.898716,21%
2.6,1.1,20.73811311,16.25726,22%
2.6,1.2,22.57247162,17.712052,22%
2.7,0.7,13.19755091,11.222595,15%
2.7,0.8,15.09371216,12.18284,19%
2.7,0.9,16.98014443,13.239333,22%
2.7,1,18.85256028,14.392074,24%
2.7,1.1,20.70700897,15.641063,24%
2.7,1.2,22.54211968,16.9863,25%
2.8,0.7,13.1681027,11.05711,16%
2.8,0.8,15.06213381,11.9078,21%
2.8,0.9,16.94794753,12.854738,24%
2.8,1,18.82049729,13.897924,26%
2.8,1.1,20.6757242,15.037358,27%
2.8,1.2,22.51174937,16.27304,28%
2.9,0.7,13.14022952,10.904117,17%
2.9,0.8,15.0318905,11.645252,23%
2.9,0.9,16.91658975,12.482635,26%
2.9,1,18.78907213,13.416266,29%
2.9,1.1,20.64500682,14.446145,30%
2.9,1.2,22.48151665,15.572272,31%
3,0.7,13.11390284,10.763616,18%
3,0.8,15.00293972,11.395196,24%
3,0.9,16.88611969,12.123024,28%
3,1,18.75828753,12.9471,31%
3,1.1,20.61449839,13.867424,33%
3,1.2,22.45122937,14.883996,34%
3,0.5,1.852192224,9.7892,-429%
3,0.6,3.711695032,10.228284,-176%
3,0.7,5.578670431,10.763616,-93%
3,0.8,7.453850758,11.395196,-53%
3,0.9,9.335914605,12.123024,-30%
3,1,1.849698068,12.9471,-600%
3,1.1,3.706236818,13.867424,-274%
3.1,0.5,5.569724721,9.880301,-77%
3.1,0.6,7.44097389,10.20983,-37%
3.1,0.7,9.318771429,10.635607,-14%
3.1,0.8,1.847422027,11.157632,-504%
3.1,0.9,3.701279431,11.775905,-218%
3.1,1,5.561540279,12.490426,-125%
3.1,1.1,7.429187967,13.301195,-79%
3.2,0.5,9.302977339,9.983894,-7%
3.2,0.6,1.845332419,10.203868,-453%
3.2,0.7,3.696739563,10.52009,-185%
3.2,0.8,5.554084135,10.93256,-97%
3.2,0.9,7.418354174,11.441278,-54%
3.2,1,9.288411508,12.046244,-30%
3.2,1.1,1.843413096,12.747458,-592%
3.3,0.5,3.692576085,10.099979,-174%
3.3,0.6,5.547238471,10.210398,-84%
3.3,0.7,7.408445006,10.417065,-41%
3.3,0.8,9.274954245,10.71998,-16%
3.3,0.9,1.841634366,11.119143,-504%
3.3,1,3.688746944,11.614554,-215%
3.3,1.1,5.540954218,12.206213,-120%
3.4,0.5,7.399303121,10.228556,-38%
3.4,0.6,9.262526251,10.22942,-10%
3.4,0.7,1.839986966,10.326532,-461%
3.4,0.8,3.685206174,10.519892,-185%
3.4,0.9,5.535173391,10.8095,-95%
3.4,1,7.39088416,11.195356,-51%
3.4,1.1,9.25110631,11.67746,-26%
3.5,0.5,1.838460673,10.369625,-464%
3.5,0.6,3.681925356,10.260934,-179%
3.5,0.7,5.529833962,10.248491,-85%
3.5,0.8,7.383080369,10.332296,-40%
3.5,0.9,9.240519582,10.512349,-14%
3.5,1,1.83704091,10.78865,-487%
3.5,1.1,3.678870114,11.161199,-203%
3.6,0.5,5.524881835,10.523186,-90%
3.6,0.6,7.375821158,10.30494,-40%
3.6,0.7,9.230697937,10.182942,-10%
3.6,0.8,1.835716774,10.157192,-453%
3.6,0.9,3.67602706,10.22769,-178%
3.6,1,5.520279483,10.394436,-88%
3.6,1.1,7.369124506,10.65743,-45%
3.7,0.5,9.221553195,10.689239,-16%
3.7,0.6,1.834472993,10.361438,-465%
3.7,0.7,3.67337388,10.129885,-176%
3.7,0.8,5.515978696,9.99458,-81%
3.7,0.9,7.362857633,9.955523,-35%
3.7,1,9.21304759,10.012714,-9%
3.7,1.1,9.3359,10.166153,-9%
3.8,0.5,11.224,10.867784,3%
3.8,0.6,13.114,10.430428,20%
3.8,0.7,15.002,10.08932,33%
3.8,0.8,16.885,9.84446,42%
3.8,0.9,18.757,9.695848,48%
3.8,1,20.613,9.643484,53%
3.8,1.1,9.3188,9.687368,-4%
3.9,0.5,11.203,11.058821,1%
3.9,0.6,13.089,10.51191,20%
3.9,0.7,14.975,10.061247,33%
3.9,0.8,16.855,9.706832,42%
3.9,0.9,18.727,9.448665,50%
3.9,1,20.583,9.286746,55%
3.9,1.1,9.303,9.221075,1%
4,0.5,11.183,11.26235,-1%
4,0.6,13.066,10.605884,19%
4,0.7,14.948,10.045666,33%
4,0.8,16.827,9.581696,43%
4,0.9,18.698,9.213974,51%
4,1,20.554,8.9425,56%
4,1.1,9.2884,8.767274,6%
3,0.1,11.165,8.995344,19%
3,0.2,13.044,9.049436,31%
3,0.3,14.923,9.199776,38%
3,0.4,16.8,9.446364,44%
3,0.5,18.669,9.7892,48%
3.1,0.1,20.525,9.524665,54%
3.1,0.2,9.275,9.469202,-2%
3.1,0.3,11.148,9.509987,15%
3.1,0.4,13.024,9.64702,26%
3.1,0.5,14.9,9.880301,34%
3.2,0.1,16.774,10.066478,40%
3.2,0.2,18.642,9.90146,47%
3.2,0.3,20.497,9.83269,52%
3.2,0.4,9.2625,9.860168,-6%
3.2,0.5,11.132,9.983894,10%
3.3,0.1,13.004,10.620783,18%
3.3,0.2,14.877,10.34621,30%
3.3,0.3,16.749,10.167885,39%
3.3,0.4,18.615,10.085808,46%
3.3,0.5,20.469,10.099979,51%
3.4,0.1,9.2511,11.18758,-21%
3.4,0.2,11.117,10.803452,3%
3.4,0.3,12.986,10.515572,19%
3.4,0.4,14.856,10.32394,31%
3.4,0.5,16.725,10.228556,39%
3.5,0.1,18.59,11.766869,37%
3.5,0.2,20.442,11.273186,45%
3.5,0.3,9.2405,10.875751,-18%
3.5,0.4,11.103,10.574564,5%
3.5,0.5,12.969,10.369625,20%
3.6,0.1,14.836,12.35865,17%
3.6,0.2,16.703,11.755412,30%
3.6,0.3,18.565,11.248422,39%
3.6,0.4,20.416,10.83768,47%
3.6,0.5,9.2307,10.523186,-14%
3.7,0.1,11.091,12.962923,-17%
3.7,0.2,12.953,12.25013,5%
3.7,0.3,14.817,11.633585,21%
3.7,0.4,16.681,11.113288,33%
3.7,0.5,18.542,10.689239,42%
3.8,0.1,20.391,13.579688,33%
3.8,0.2,9.2216,12.75734,-38%
3.8,0.3,11.079,12.03124,-9%
3.8,0.4,12.939,11.401388,12%
3.8,0.5,14.799,10.867784,27%
3.9,0.1,16.661,14.208945,15%
3.9,0.2,18.519,13.277042,28%
3.9,0.3,20.367,12.441387,39%
3.9,0.4,9.213,11.70198,-27%
3.9,0.5,11.068,11.058821,0%
4,0.1,12.925,14.850694,-15%
4,0.2,14.783,13.809236,7%
4,0.3,16.642,12.864026,23%
4,0.4,18.497,12.015064,35%
4,0.5,20.344,11.26235,45%
4,0.7,1.834472973,10.045666,-448%
4,0.8,3.673375058,9.581696,-161%
4,0.9,5.515978051,9.213974,-67%
4,1,7.362857681,8.9425,-21%
4,1.1,9.213047655,8.767274,5%
4.1,0.7,11.06754559,10.042577,9%
4.1,0.8,1.833305305,9.469052,-417%
4.1,0.9,3.670885327,8.991775,-145%
4.1,1,5.511964763,8.610746,-56%
4.1,1.1,7.357017064,8.325965,-13%
4.2,0.7,9.205129487,10.05198,-9%
4.2,0.8,11.05709954,9.3689,15%
